date,plot,quadrat,block,rate_pl,STEME,ERPVE,CERVU,VIOAR,CARHI,LAMAM,VERAR,LAMPU,THLPE,VERSE,unknown_rosette
12april22,101E,B,1,1.5,27,11,0,1,0,0,0,0,1,0,0
12april22,101L,B,1,1.5,24,15,1,0,0,0,4,0,0,0,0
12april22,102E,B,1,0,9,9,0,0,2,0,0,0,0,0,0
12april22,102L,B,1,0,10,2,0,0,4,0,0,0,0,0,0
12april22,103E,B,1,3,28,7,0,2,2,3,0,0,0,0,0
12april22,103L,B,1,3,17,3,0,1,1,0,0,0,2,0,0
12april22,201L,B,2,0,12,2,1,0,3,0,0,0,0,0,0
12april22,201E,B,2,0,17,12,0,0,0,0,0,0,0,0,0
12april22,202L,B,2,1.5,12,0,0,1,1,0,1,1,0,0,0
12april22,202E,B,2,1.5,14,3,0,0,3,2,2,0,0,0,0
12april22,203L,B,2,3,10,2,0,0,3,0,0,0,0,0,0
12april22,203E,B,2,3,2,4,0,0,4,1,0,0,0,0,0
12april22,301L,B,3,3,44,28,0,0,0,0,2,0,0,0,0
12april22,301E,B,3,3,44,14,0,0,2,0,0,1,0,0,0
12april22,302L,B,3,1.5,43,2,0,0,3,3,0,0,0,0,0
12april22,302E,B,3,1.5,65,5,0,0,5,2,3,2,0,0,0
12april22,303L,B,3,0,2,0,0,0,0,0,0,0,0,0,0
12april22,303E,B,3,0,45,5,0,0,1,0,0,0,0,0,0
12april22,401L,B,4,0,12,8,0,0,0,0,0,0,0,0,0
12april22,401E,B,4,0,14,3,0,0,0,0,0,0,0,0,0
12april22,402L,B,4,3,27,2,0,0,2,3,5,0,0,0,0
12april22,402E,B,4,3,19,0,0,0,3,0,0,0,0,1,0
12april22,403L,B,4,1.5,11,6,0,0,3,0,2,0,0,0,1
12april22,403E,B,4,1.5,19,15,0,0,6,0,1,0,0,0,0
12april22,501E,B,5,3,27,21,0,0,2,0,2,0,0,0,0
12april22,501L,B,5,3,45,13,0,0,4,1,0,0,0,0,0
12april22,502E,B,5,0,6,11,0,0,2,0,0,0,0,0,0
12april22,502L,B,5,0,6,10,0,0,2,0,0,0,0,0,0
12april22,503E,B,5,1.5,31,83,0,0,0,2,0,0,0,0,0
12april22,503L,B,5,1.5,45,75,0,0,5,0,1,0,0,0,0