plot,rate,PD,seeds,seedheads,total_wt,avg_wt,min,max
101E,1.5,E,99,13,1.303,0.100230769,0.039,0.186
101L,1.5,L,142,30,2.569,0.085633333,0.03,0.223
102E,0,E,620,61,9.385,0.153852459,0.009,0.73
102L,0,L,581,68,8.527,0.125397059,0.015,0.493
103E,3,E,191,17,3.159,0.185823529,0.026,0.529
103L,3,L,136,15,2.432,0.162133333,0.024,0.45
201E,0,E,453,62,7.407,0.119467742,0.005,0.392
201L,0,L,411,54,5.547,0.102722222,0.015,0.364
202E,1.5,E,167,23,2.851,0.123956522,0.011,0.386
202L,1.5,L,109,19,1.904,0.100210526,0.024,0.243
203E,3,E,148,19,2.401,0.126368421,0.015,0.587
203L,3,L,125,25,2.736,0.10944,0.019,0.318
301E,3,E,77,21,1.848,0.088,0.024,0.305
301L,3,L,277,28,4.235,0.15125,0.028,0.327
302E,1.5,E,146,17,1.757,0.103352941,0.016,0.286
302L,1.5,L,196,21,3.046,0.145047619,0.017,0.401
303E,0,E,516,52,8.285,0.159326923,0.012,0.448
303L,0,L,582,53,9.425,0.177830189,0.008,0.52
401E,0,E,293,39,4.048,0.103794872,0.014,0.296
401L,0,L,224,32,3.853,0.12040625,0.01,0.378
402E,3,E,229,22,4.107,0.186681818,0.011,1.064
402L,3,L,237,30,3.417,0.1139,0.026,0.528
403E,1.5,E,275,24,4.128,0.172,0.015,0.576
403L,1.5,L,158,20,2.308,0.1154,0.041,0.29
501E,3,E,594,62,9.392,0.151483871,0.018,0.515
501L,3,L,280,25,4.551,0.18204,0.032,0.42
502E,0,E,96,20,1.962,0.0981,0.026,0.408
502L,0,L,148,26,2.515,0.096730769,0.013,0.229
503E,1.5,E,107,19,1.816,0.095578947,0.03,0.366
503L,1.5,L,164,20,3.097,0.15485,0.032,0.385