subplot,plot_n,soybean_date,rate,quadrat,seedling_n,canopy_cover
101E,101,E,1.5T,B,186,19.08
101L,101,L,1.5T,B,102,10.93
102E,102,E,0T,B,135,12.43
102L,102,L,0T,B,156,4.85
103E,103,E,3T,B,104,32.7
103L,103,L,3T,B,147,16.11
201L,201,E,0T,B,170,8.12
201E,201,L,0T,B,181,12.92
202L,202,E,1.5T,B,204,8.46
202E,202,L,1.5T,B,174,12.39
203L,203,E,3T,B,163,4.75
203E,203,L,3T,B,129,7.1
301L,301,E,3T,B,171,17.37
301E,301,L,3T,B,174,21.35
302L,302,E,1.5T,B,151,7.74
302E,302,L,1.5T,B,168,6.45
303L,303,E,0T,B,168,3.07
303E,303,L,0T,B,161,1.61
401L,401,E,0T,B,158,5.56
401E,401,L,0T,B,165,6.19
402L,402,E,3T,B,123,1.18
402E,402,L,3T,B,118,2.04
403L,403,E,1.5T,B,124,5.86
403E,403,L,1.5T,B,169,11.06
501E,501,E,3T,B,173,19.01
501L,501,L,3T,B,161,13.9
502E,502,E,0T,B,144,0.66
502L,502,L,0T,B,156,0.63
503E,503,E,1.5T,B,150,6.95
503L,503,L,1.5T,B,161,16.82
101E,101,E,1.5T,A,NA,20.8
101L,101,L,1.5T,A,NA,6.87
102E,102,E,0T,A,NA,11.14
102L,102,L,0T,A,NA,4.3
103E,103,E,3T,A,NA,24.22
103L,103,L,3T,A,NA,16.51
201L,201,E,0T,A,NA,7.4
201E,201,L,0T,A,NA,10.57
202L,202,E,1.5T,A,NA,5.27
202E,202,L,1.5T,A,NA,10.33
203L,203,E,3T,A,NA,4.96
203E,203,L,3T,A,NA,3.26
301L,301,E,3T,A,NA,11.59
301E,301,L,3T,A,NA,22.07
302L,302,E,1.5T,A,NA,7.39
302E,302,L,1.5T,A,NA,8.2
303L,303,E,0T,A,NA,1.37
303E,303,L,0T,A,NA,2.2
401L,401,E,0T,A,NA,6.67
401E,401,L,0T,A,NA,4.25
402L,402,E,3T,A,NA,3.65
402E,402,L,3T,A,NA,2.54
403L,403,E,1.5T,A,NA,9.65
403E,403,L,1.5T,A,NA,10.76
501E,501,E,3T,A,NA,19.78
501L,501,L,3T,A,NA,18.63
502E,502,E,0T,A,NA,2.58
502L,502,L,0T,A,NA,0.95
503E,503,E,1.5T,A,NA,16.18
503L,503,L,1.5T,A,NA,15.12